,brandnm,goodsnm,4days,7days
0,BURBERRY,button basic pattern jacket,39000,49000
1,BURBERRY,belt basic pattern trench-coat khaki,39000,49000
2,DOLCE & GABBANA,button basic pattern jacket black,39000,49000
3,PRADA,ruffle basic pattern wool cardigan grey,39000,49000
4,DOLCE & GABBANA,pocket basic pattern slacks beige,24000,34000
5,MAX MARA,pintuck basic pattern wool slacks black,24000,34000
6,ISSEY MIYAKE,pleats graphics pattern cardigan,39000,49000
7,MAX MARA,button basic pattern jacket pink,39000,49000
8,VERSACE,stripe pattern tank-top yellow,24000,34000
9,VERSACE,ribbon basic pattern holter neck tank-top deeppink,24000,34000
10,MIU MIU,basic pattern top white,24000,34000
11,BURBERRY,pintuck check pattern wool slacks grey,24000,34000
12,BURBERRY,check skirt beige,24000,34000
13,ISSEY MIYAKE,pleats stripe pattern boat neck blouse brown,24000,34000
14,BURBERRY,flower pattern skirt grey,24000,34000
15,MIU MIU,pleats check pattern wool pleats-skirt,24000,34000
16,BALENCIAGA,button basic pattern skirt burgundy,19000,29000
17,BURBERRY,embroidery basic pattern wool sweater navy,24000,34000
18,JIL SANDER,banding basic pattern windbreaker brown,39000,49000
19,GIVENCHY,,24000,34000
20,ISSEY MIYAKE,basic pattern dress bluegreen,39000,49000
21,BURBERRY,belt basic pattern trench-coat beige,39000,49000
22,YVES SAINT LAURENT,tweed pattern linen skirt,24000,34000
23,YVES SAINT LAURENT,basic pattern skirt navy,24000,34000
24,FENDI,basic pattern jeans beige,24000,34000
25,ISSEY MIYAKE,pleats basic pattern flared-skirt purple,24000,34000
26,PRADA,gather basic pattern skirt black,24000,34000
27,ISSEY MIYAKE,basic pattern skirt burgundy,24000,34000
28,BURBERRY,pintuck check pattern wool jeans brown,24000,34000
29,ISSEY MIYAKE,pocket geometric pattern slacks,24000,34000
30,MAX MARA,pocket stripe pattern slacks black,24000,34000
31,YVES SAINT LAURENT,basic pattern wool sweater red,24000,34000
32,BURBERRY,button check pattern doublebreasted-jacket beige,39000,49000
33,YVES SAINT LAURENT,pocket basic pattern shirts pink,24000,34000
34,HUGO BOSS,button stripe pattern shirts yellow,24000,34000
35,BURBERRY,button basic pattern polo-shirts charcoal,24000,34000
36,BURBERRY,button basic pattern jacket,39000,49000
37,BURBERRY,belt basic pattern trench-coat khaki,39000,49000
38,DOLCE & GABBANA,button basic pattern jacket black,39000,49000
39,PRADA,ruffle basic pattern wool cardigan grey,39000,49000
40,DOLCE & GABBANA,pocket basic pattern slacks beige,24000,34000
41,MAX MARA,pintuck basic pattern wool slacks black,24000,34000
42,ISSEY MIYAKE,pleats graphics pattern cardigan,39000,49000
43,MAX MARA,button basic pattern jacket pink,39000,49000
44,VERSACE,stripe pattern tank-top yellow,24000,34000
45,VERSACE,ribbon basic pattern holter neck tank-top deeppink,24000,34000
46,MIU MIU,basic pattern top white,24000,34000
47,BURBERRY,pintuck check pattern wool slacks grey,24000,34000
48,BURBERRY,check skirt beige,24000,34000
49,ISSEY MIYAKE,pleats stripe pattern boat neck blouse brown,24000,34000
50,BURBERRY,flower pattern skirt grey,24000,34000
51,MIU MIU,pleats check pattern wool pleats-skirt,24000,34000
52,BALENCIAGA,button basic pattern skirt burgundy,19000,29000
53,BURBERRY,embroidery basic pattern wool sweater navy,24000,34000
54,JIL SANDER,banding basic pattern windbreaker brown,39000,49000
55,GIVENCHY,,24000,34000
56,ISSEY MIYAKE,basic pattern dress bluegreen,39000,49000
57,BURBERRY,belt basic pattern trench-coat beige,39000,49000
58,YVES SAINT LAURENT,tweed pattern linen skirt,24000,34000
59,YVES SAINT LAURENT,basic pattern skirt navy,24000,34000
60,FENDI,basic pattern jeans beige,24000,34000
61,ISSEY MIYAKE,pleats basic pattern flared-skirt purple,24000,34000
62,PRADA,gather basic pattern skirt black,24000,34000
63,ISSEY MIYAKE,basic pattern skirt burgundy,24000,34000
64,BURBERRY,pintuck check pattern wool jeans brown,24000,34000
65,ISSEY MIYAKE,pocket geometric pattern slacks,24000,34000
66,MAX MARA,pocket stripe pattern slacks black,24000,34000
67,YVES SAINT LAURENT,basic pattern wool sweater red,24000,34000
68,BURBERRY,button check pattern doublebreasted-jacket beige,39000,49000
69,YVES SAINT LAURENT,pocket basic pattern shirts pink,24000,34000
70,HUGO BOSS,button stripe pattern shirts yellow,24000,34000
71,BURBERRY,button basic pattern polo-shirts charcoal,24000,34000
72,BURBERRY,pocket basic pattern jacket navy,24000,34000
73,ISSEY MIYAKE,button stripe pattern bolero,39000,49000
74,CHLOE,basic pattern jacket black,39000,49000
75,BURBERRY,frill check pattern shirt-dress,39000,49000
76,ESCADA,button basic pattern skirt brown,24000,34000
77,HUGO BOSS,button graphics pattern shirts,24000,34000
78,HUGO BOSS,basic pattern H-Line wool dress grey,39000,49000
79,VALENTINO,basic pattern tank-top blue,24000,34000
80,ISSEY MIYAKE,button basic pattern jacket navy,39000,49000
81,BURBERRY,hoodie basic pattern wool cape brown,39000,49000
82,BURBERRY,button check pattern shirts,24000,34000
83,YVES SAINT LAURENT,button basic pattern blouse blue,24000,34000
84,MAX MARA,pocket basic pattern jeans olive,24000,34000
85,BURBERRY,pocket basic pattern zipup-jumper khaki,39000,49000
86,YVES SAINT LAURENT,basic pattern wool skirt purple,24000,34000
87,MAX MARA,ruffle check pattern skirt,24000,34000
88,HUGO BOSS,stripe pattern skirt,24000,34000
89,BURBERRY LONDON,button stripe pattern wrap-skirt,19000,29000
90,YVES SAINT LAURENT,button check pattern wool cardigan,39000,49000
91,AKRIS,ribbon basic pattern skirt black,24000,34000
92,ISSEY MIYAKE,pleats stripe pattern A-Line dress,39000,49000
93,ISSEY MIYAKE,pocket basic pattern jacket khaki,39000,49000
94,LOUIS VUITTON,strap basic pattern coat black,39000,49000
95,SORRY TOO MUCH LOVE,printing pattern sweat-shirts yellow,19000,29000
96,MAX MARA,basic pattern H-Line dress grey,39000,49000
97,ANNA SUI,lettering pattern sweater deeppink,19000,29000
98,BURBERRY,belt graphics pattern trench-coat beige,39000,49000
99,BURBERRY,button check pattern shirts,24000,34000
100,YVES SAINT LAURENT,basic pattern turtle neck wool turtleneck black,24000,34000
101,ISSEY MIYAKE,pleats zigzag pattern H-Line dress,39000,49000
102,CHLOE,button basic pattern cashmere cardigan brown,39000,49000
103,BURBERRY,embroidery lettering pattern wool sweater grey,24000,34000
104,ISSEY MIYAKE,basic pattern turtle neck top mint,24000,34000
105,MAX MARA,button basic pattern H-Line shirt-dress khaki,39000,49000
106,MAX MARA,basic pattern t-shirts black,24000,34000
107,BURBERRY,belt basic pattern coat beige,39000,49000
108,BURBERRY,slit check pattern skirt beige,24000,34000
109,PRADA,button basic pattern cardigan,39000,49000
110,BURBERRY,check pattern wool skirt,24000,34000
111,BURBERRY,button basic pattern wool cardigan grey,39000,49000
112,MIU MIU,flower pattern skirt,24000,34000
113,BURBERRY,check pattern t-shirts,24000,34000
114,BURBERRY,button check pattern wool singlebreasted-jacket,39000,49000
115,HUGO BOSS,pocket basic pattern slacks charcoal,24000,34000
116,GUCCI,button basic pattern jacket navy,39000,49000
117,GUCCI,button lettering pattern pants black,24000,34000
118,BURBERRY,button basic pattern wool singlebreasted-coat beige,39000,49000
119,ALEXANDER MCQUEEN,basic pattern sweater navy,24000,34000
120,GIVENCHY,button check pattern shirts navy,24000,34000
121,VERSACE,button basic pattern jumper charcoal,34000,44000
122,BURBERRY,button check pattern cardigan grey,39000,49000
123,JIL SANDER,button basic pattern singlebreasted-coat green,39000,49000
124,DOLCE & GABBANA,pocket basic pattern slacks red,24000,34000
125,BURBERRY,pocket check pattern skirt,24000,34000
126,ALEXANDER MCQUEEN,printing pattern t-shirts black,24000,34000
127,PRADA,high neck robe jumper gray,34000,44000
128,THOM BROWNE,basic pattern sweat-shirts grey,24000,34000
129,BURBERRY,pocket stripe pattern wool slacks beige,24000,34000
130,AKRIS,button basic pattern wool skirt charcoal,24000,34000
131,CHLOE,buckle basic pattern pants black,24000,34000
132,MAX MARA,dots pattern wrap-skirt black,24000,34000
133,BURBERRY,pocket basic pattern zipup-jumper red,39000,49000
134,BURBERRY,button basic pattern polo-shirts black,24000,34000
135,MAX MARA,animal print pattern skirt purple,24000,34000
136,MIU MIU,pocket basic pattern slacks brown,24000,34000
137,BURBERRY,button basic pattern polo-shirts deeppink,24000,34000
138,CELINE,hoodie color block pattern hoodie green,24000,34000
139,FENDI,ribbon basic pattern sweater khaki,24000,34000
140,BURBERRY,button basic pattern polo-shirts grey,24000,34000
141,BURBERRY,basic pattern top grey,24000,34000
142,YVES SAINT LAURENT,basic pattern wool sweater burgundy,24000,34000
143,MAX MARA,pocket basic pattern baggy-pants beige,24000,34000
144,ETRO,button paisley print pattern shirts,24000,34000
145,BURBERRY,belt basic pattern trench-coat beige,39000,49000
146,BURBERRY,pocket basic pattern trench-coat navy,39000,49000
147,BURBERRY,pocket basic pattern wool coat charcoal,39000,49000
148,MAX MARA,basic pattern wool skirt grey,24000,34000
149,BURBERRY,button stripe pattern polo-shirts,24000,34000
150,"CHRISTIAN DIOR,MAJE","check blouse multi,see through leather skirt",39000,59000
151,CHANEL,tweed pattern skirt,24000,34000
152,BURBERRY,basic pattern turtle neck turtleneck burgundy,24000,34000
153,JIL SANDER,button basic pattern singlebreasted-coat navy,39000,49000
154,SAINT LAURENT,printing graphics pattern t-shirts white,24000,34000
155,BURBERRY,pocket basic pattern wool jacket navy,39000,49000
156,DOLCE & GABBANA,button basic pattern wool coat red,39000,49000
157,BURBERRY,button basic pattern wool polo-shirts lavender,24000,34000
158,BURBERRY,,24000,34000
159,BURBERRY,belt basic pattern trench-coat beige,39000,49000
160,BURBERRY,button basic pattern wool coat brown,39000,49000
161,"PETER PILOTTO,DOLCE & GABBANA","unbalance patterned knit ,semi washing jean",43000,63000
162,BURBERRY,belt basic pattern trench-coat khaki,39000,49000
163,BURBERRY,pocket basic pattern trench-coat khaki,39000,49000
164,DOLCE & GABBANA,pocket basic pattern zipup-jumper black,39000,49000
165,MAX MARA,check pattern slacks brown,24000,34000
166,ESCADA,embroidery basic pattern wool skirt navy,24000,34000
167,YVES SAINT LAURENT,button basic pattern coat khaki,39000,49000
168,BURBERRY,belt basic pattern coat ivory,39000,49000
169,HUGO BOSS,basic pattern H-Line dress grey,39000,49000
170,ISSEY MIYAKE,pleats basic pattern A-Line dress blue,39000,49000
171,CELINE,pocket basic pattern wool slacks black,24000,34000
172,JIL SANDER,ruffle basic pattern blouse black,24000,34000
173,CHLOE,basic pattern wool skirt cream,24000,34000
174,MAX MARA,button basic pattern wool coat black,39000,49000
175,ALEXANDER MCQUEEN,pocket basic pattern cardigan black,39000,49000
176,MAX MARA,basic pattern skirt navy,24000,34000
177,BURBERRY,button basic pattern wool coat brown,39000,49000
178,ESCADA,slit basic pattern skirt beige,24000,34000
179,BURBERRY,stripe pattern t-shirts,24000,34000
180,MAX MARA,pocket basic pattern wool cape brown,39000,49000
181,BURBERRY,basic pattern sweater pink,24000,34000
182,CHLOE,pocket tweed pattern wool slacks charcoal,24000,34000
183,PRADA,button basic pattern coat black,39000,49000
184,BURBERRY,pocket basic pattern wool doublebreasted-coat,39000,49000
185,BURBERRY,pocket basic pattern trench-coat beige,39000,49000
186,CELINE,button basic pattern shirts burgundy,24000,34000
187,BURBERRY,pocket basic pattern zipup-jumper chocolate,39000,49000
188,CHRISTIAN DIOR,button basic pattern wool coat grey,39000,49000
189,RICK OWENS,strap basic pattern jacket navy,34000,44000
190,JIL SANDER,button basic pattern padding-outer black,39000,49000
191,BURBERRY,pocket basic pattern wool singlebreasted-coat navy,39000,49000
192,BURBERRY,button basic pattern tank-top black,24000,34000
193,BURBERRY,button check pattern shirts beige,24000,34000
194,BURBERRY,pocket basic pattern padding-outer navy,39000,49000
195,"CHRISTIAN DIOR,ZARA","simple sleeveless red,heart pattern pants",43000,63000
196,ISSEY MIYAKE,stripe pattern A-Line dress,39000,49000
197,BURBERRY,pocket basic pattern wool singlebreasted-coat navy,39000,49000
198,SALVATORE FERRAGAMO,button basic pattern coat charcoal,39000,49000
199,PRADA,cable pattern wool zipup-jumper grey,39000,49000
200,MAX MARA,raglan sleeve long padding white,34000,44000
201,ETRO,pocket basic pattern slacks charcoal,24000,34000
202,AMENPAPA,pleats color block pattern pleats-skirt multi,19000,29000
203,VERSACE,button basic pattern H-Line dress black,39000,49000
204,FENDI,hoodie basic pattern padding-outer navy,39000,49000
205,BURBERRY,belt basic pattern trench-coat brown,39000,49000
206,CELINE,basic pattern skirt black,24000,34000
207,MAX MARA,basic pattern t-shirts beige,24000,34000
208,BURBERRY,belt basic pattern trench-coat khaki,39000,49000
209,"CAROLINA HERRERA,CAROLINA HERRERA","peplum dot pattern top,dot pattern slacks black",38000,58000
210,AKRIS,pocket basic pattern slacks black,24000,34000
211,BURBERRY,basic pattern skirt khaki,24000,34000
212,GIVENCHY,gather basic pattern unbalance wrap-skirt black,24000,34000
213,GUCCI,stripe pattern pointed cardigan,34000,44000
214,ISSEY MIYAKE,graphics pattern top,24000,34000
215,MAX MARA,strap basic pattern padding-outer ivory,39000,49000
216,MAX MARA,pocket basic pattern wool cape brown,39000,49000
217,BURBERRY,basic pattern sweater pink,24000,34000
218,CHLOE,pocket tweed pattern wool slacks charcoal,24000,34000
219,PRADA,button basic pattern coat black,39000,49000
220,BURBERRY,pocket basic pattern wool doublebreasted-coat,39000,49000
221,BURBERRY,pocket basic pattern trench-coat beige,39000,49000
222,CELINE,button basic pattern shirts burgundy,24000,34000
223,BURBERRY,pocket basic pattern zipup-jumper chocolate,39000,49000
224,CHRISTIAN DIOR,button basic pattern wool coat grey,39000,49000
225,RICK OWENS,strap basic pattern jacket navy,34000,44000
226,JIL SANDER,button basic pattern padding-outer black,39000,49000
227,BURBERRY,pocket basic pattern wool singlebreasted-coat navy,39000,49000
228,BURBERRY,button basic pattern tank-top black,24000,34000
229,BURBERRY,button check pattern shirts beige,24000,34000
230,BURBERRY,pocket basic pattern padding-outer navy,39000,49000
231,"CHRISTIAN DIOR,ZARA","simple sleeveless red,heart pattern pants",43000,63000
232,ISSEY MIYAKE,stripe pattern A-Line dress,39000,49000
233,BURBERRY,pocket basic pattern wool singlebreasted-coat navy,39000,49000
234,SALVATORE FERRAGAMO,button basic pattern coat charcoal,39000,49000
235,PRADA,cable pattern wool zipup-jumper grey,39000,49000
236,MAX MARA,raglan sleeve long padding white,34000,44000
237,ETRO,pocket basic pattern slacks charcoal,24000,34000
238,AMENPAPA,pleats color block pattern pleats-skirt multi,19000,29000
239,VERSACE,button basic pattern H-Line dress black,39000,49000
240,FENDI,hoodie basic pattern padding-outer navy,39000,49000
241,BURBERRY,belt basic pattern trench-coat brown,39000,49000
242,CELINE,basic pattern skirt black,24000,34000
243,MAX MARA,basic pattern t-shirts beige,24000,34000
244,BURBERRY,belt basic pattern trench-coat khaki,39000,49000
245,"CAROLINA HERRERA,CAROLINA HERRERA","peplum dot pattern top,dot pattern slacks black",38000,58000
246,AKRIS,pocket basic pattern slacks black,24000,34000
247,BURBERRY,basic pattern skirt khaki,24000,34000
248,GIVENCHY,gather basic pattern unbalance wrap-skirt black,24000,34000
249,GUCCI,stripe pattern pointed cardigan,34000,44000
250,ISSEY MIYAKE,graphics pattern top,24000,34000
251,MAX MARA,strap basic pattern padding-outer ivory,39000,49000
252,GIVENCHY,pocket basic pattern wool singlebreasted-jacket grey,39000,49000
253,SALVATORE FERRAGAMO,button graphics pattern wool jacket black,39000,49000
254,ETRO,paisley print pattern coat ivory,39000,49000
255,GUCCI,basic pattern skirt black,24000,34000
256,BOTTEGA VENETA,button graphics pattern cashmere cardigan multi,24000,34000
257,"O'2ND,GUCCI","embroidery lace skirt charcoal,buckle shirt",39000,59000
258,MAX MARA,button basic pattern jacket grey,39000,49000
259,BURBERRY,button check pattern wool jacket,39000,49000
260,"EL ESTILO DE CLAIRE,BALENCIAGA","lettering crew knit ,pumpkin mini skirt",34000,54000
261,"DOLCE & GABBANA,EL ESTILO DE CLAIRE","chic slim skinny ,patterned crew knit",39000,59000
262,HUGO BOSS,tie-dye pattern H-Line dress,39000,49000
263,JIL SANDER,printing pattern H-Line dress,39000,49000
264,BALMAIN,button basic pattern wool doublebreasted-jacket black,39000,49000
265,ISSEY MIYAKE,basic pattern H-Line dress beige,39000,49000
266,MAX MARA,basic pattern H-Line dress beige,39000,49000
267,THOM BROWNE,pocket graphics pattern sweat-pants grey,24000,34000
268,LANVIN,basic pattern H-Line dress navy,34000,44000
269,SORRY TOO MUCH LOVE,button basic pattern blouse violet,29000,39000
270,FENDI,basic pattern skirt,24000,34000
271,BALMAIN,strap basic pattern wool coat black,39000,49000
272,MIU MIU,pocket basic pattern jacket yellow,39000,49000
273,BURBERRY,basic pattern sweater skyblue,24000,34000
274,BURBERRY,button check pattern jacket,39000,49000
275,BURBERRY,button basic pattern sweater black,24000,34000
276,DOLCE & GABBANA,pocket basic pattern slacks black,24000,34000
277,LANVIN,belt basic pattern trench-coat black,39000,49000
278,SORRY TOO MUCH LOVE,button basic pattern shirts yellow,29000,39000
279,DOLCE & GABBANA,pocket check pattern singlebreasted-coat,39000,49000
280,BURBERRY,basic pattern wool sweater grey,24000,34000
281,BURBERRY,pocket basic pattern wool singlebreasted-jacket grey,39000,49000
282,SACAI,button basic pattern coat grey,39000,49000
283,BURBERRY,button basic pattern polo-shirts white,24000,34000
284,BURBERRY,button check pattern H-Line dress multi,39000,49000
285,BURBERRY,basic pattern wool sweater black,24000,34000
286,CHLOE,button basic pattern coat navy,39000,49000
287,BURBERRY,pocket basic pattern sweat-pants ivory,24000,34000
288,BURBERRY,button check pattern A-Line shirt-dress multi,39000,49000
289,BURBERRY,button basic pattern wool sweater grey,24000,34000
290,JIL SANDER,pocket basic pattern jacket black,39000,49000
291,HUGO BOSS,strap basic pattern cardigan,39000,49000
292,BURBERRY,belt basic pattern coat pink,34000,44000
